id,agent,skills,intent,domain,complexity,keywords,description,use_when
32,code-executor,shopify,execute,ecommerce,simple,"shopify, liquid template, shopify theme, shopify customization",Basic Shopify development,Simple Shopify customizations
33,code-executor,shopify|backend-development,execute,ecommerce,standard,"shopify app, polaris, shopify api, e-commerce app, shopify backend",Shopify app development,Building Shopify apps
34,code-executor,shopify|backend-development|web-frameworks,execute,ecommerce,full,"shopify integration, e-commerce platform, shopify storefront, headless shopify, complete ecommerce",Full Shopify integration,Complete Shopify/e-commerce implementations
35,code-executor,mobile-development,execute,mobile,simple,"mobile app, ios app, android app, react native, flutter, mobile development, build mobile app",Mobile app implementation,Implementing mobile app features
36,code-executor,mobile-development|ui-styling,execute,mobile,standard,"mobile ui, app interface, mobile component, mobile styling, native styling",Mobile with styling,Implementing styled mobile components
37,code-executor,mobile-development|ui-ux-pro-max|frontend-design,execute,mobile,full,"beautiful mobile app, stunning app design, premium mobile interface, polished mobile ui",Premium mobile implementation,Creating polished mobile app experiences
38,code-executor,ai-multimodal,execute,ai,simple,"generate image, create video, text to image, imagen, veo, ai generation, ai image, ai video",AI media generation,Generating images or videos with AI
39,code-executor,google-adk-python,execute,ai,simple,"google adk, adk python, google ai agent, gemini agent, ai agent development",Google ADK implementation,Building AI agents with Google ADK
40,code-executor,backend-development|sequential-thinking,execute,architecture,standard,"modular system, integrate agents, system architecture, plugin system, extensible architecture, agent integration, multi-agent, orchestration system, workflow system, service integration",System architecture implementation,Building modular systems agent integrations or complex architectures
41,code-reviewer,code-review,review,quality,simple,"code review, review changes, check code, pr review, pull request review, review pr, check pr",Basic code review,Standard code review tasks
42,code-reviewer,code-review|debugging,review,quality,standard,"quality assessment, performance review, best practices check, code quality, thorough review, code assessment",Code review with debugging insights,Reviewing code for quality and potential issues
43,code-reviewer,code-review|backend-development,review,security,standard,"security audit, vulnerability check, owasp, injection check, xss check, security assessment, security review",Security-focused code review,Reviewing code for security vulnerabilities
44,code-reviewer,code-review|backend-development|sequential-thinking,review,security,full,"penetration test review, deep security audit, threat modeling, security architecture review, comprehensive security audit",Deep security analysis,Comprehensive security audits and threat analysis
45,debugger,debugging,debug,general,simple,"debug, fix bug, troubleshoot, error, issue, fix error, resolve issue, bug fix, simple fix, quick fix",Basic debugging,Simple bug fixes and troubleshooting
46,debugger,debugging|sequential-thinking,debug,general,standard,"error investigation, issue analysis, root cause, stack trace, exception handling, crash analysis, systematic debugging, deep debugging",Systematic debugging,Complex bugs requiring step-by-step analysis
47,debugger,debugging|chrome-devtools,debug,frontend,standard,"browser debug, frontend bug, console error, network issue, dom issue, css bug, browser issue, frontend debugging",Frontend debugging with browser tools,Debugging browser-based issues
48,debugger,debugging|chrome-devtools|frontend-design,debug,frontend,full,"react error, vue error, component bug, state issue, render problem, hydration error, debug react, debug vue, debug component, fix react error, fix component error, react debug, component error debug",Frontend framework debugging,Debugging React/Vue/framework-specific issues
49,debugger,debugging|databases,debug,database,standard,"database issue, query performance, slow query, database error, connection issue, database debugging, sql error",Database debugging,Debugging database-related issues
50,debugger,debugging|databases|sequential-thinking,debug,database,full,"migration problem, data corruption, index optimization, query optimization, database performance, deep database debugging",Deep database analysis and optimization,Complex database issues requiring systematic analysis
51,debugger,debugging|backend-development,debug,backend,standard,"api error, server error, endpoint issue, backend bug, service error, api debugging, server debugging",Backend debugging,Debugging backend and API issues
52,debugger,debugging|backend-development|sequential-thinking,debug,backend,full,"distributed system issue, microservice debugging, complex backend error, system debugging, deep backend analysis",Complex backend debugging,Debugging complex distributed system issues
53,tester,debugging,test,quality,simple,"run tests, test, verify, validate, execute tests, run test suite",Basic testing and validation,Running tests and basic validation
54,tester,debugging|sequential-thinking,test,quality,standard,"test coverage, unit test, integration test, test validation, quality assurance, comprehensive testing, test analysis",Comprehensive testing,Thorough testing with coverage analysis
55,tester,debugging|code-review,test,quality,full,"test review, test quality, test best practices, testing standards, comprehensive qa",Testing with code review,Full QA with test quality assessment
56,ui-ux-designer,frontend-design,design,frontend,simple,"design, layout, interface, mockup, ui design, basic design, simple design",Basic UI design,Simple UI design tasks
57,ui-ux-designer,ui-ux-pro-max|frontend-design,design,frontend,standard,"design ui, create interface, beautiful ui, stunning design, gorgeous layout, visual design, modern design, professional design",Professional UI/UX design,Creating beautiful user interfaces
58,ui-ux-designer,ui-ux-pro-max|frontend-design|frontend-design-pro,design,frontend,full,"landing page, hero section, marketing page, product page, saas landing, startup website, premium landing, professional landing page",Landing page and marketing design,Designing landing pages or marketing websites
59,ui-ux-designer,ui-ux-pro-max|ui-styling,design,dashboard,standard,"dashboard, admin panel, analytics ui, data visualization, control panel, dashboard design, admin design",Dashboard and admin panel design,Designing dashboards or admin interfaces
60,ui-ux-designer,ui-ux-pro-max|ui-styling|frontend-design,design,dashboard,full,"management interface, enterprise dashboard, complex admin, data-rich interface, comprehensive dashboard",Enterprise dashboard design,Complex dashboards with data visualization
61,ui-ux-designer,mobile-development|ui-ux-pro-max,design,mobile,standard,"mobile app design, ios design, android design, mobile ui, app interface, mobile interface design",Mobile app UI/UX design,Designing mobile app interfaces
62,ui-ux-designer,mobile-development|ui-ux-pro-max|frontend-design,design,mobile,full,"mobile layout, native app design, mobile experience, touch interface, premium mobile design",Professional mobile app design,Creating polished mobile app experiences
63,docs-manager,planning,docs,documentation,simple,"documentation, write docs, update readme, technical writing, create docs, document code",Basic documentation,Writing or updating documentation
64,docs-manager,planning|backend-development,docs,documentation,standard,"api documentation, developer docs, endpoint docs, swagger, openapi, api docs, technical api documentation",API documentation,Writing API documentation
65,docs-manager,planning|research,docs,documentation,standard,"comprehensive docs, documentation research, doc structure, documentation planning, thorough documentation",Comprehensive documentation with research,Creating well-researched documentation
66,project-manager,planning,manage,project,simple,"project status, progress report, task tracking, milestone check, sprint review, project overview, status update",Project status and tracking,Getting project status or progress reports
67,project-manager,planning|sequential-thinking,manage,project,standard,"project planning, sprint planning, roadmap creation, project timeline, comprehensive project management",Comprehensive project management,Detailed project planning and management
68,git-manager,planning,git,version,simple,"commit, push, stage changes, git commit, save changes, version control, git operations, create commit",Git operations,Committing and pushing code changes
69,scout-external,research,research,external,simple,"external research, third party, external api, external service, explore external, outside research",External exploration,Researching external services and APIs
70,scout-external,research|backend-development,research,external,standard,"external integration, third party api, external service research, api integration research",External integration research,Researching external integrations and third-party APIs
71,debugger,debugging|web-frameworks,debug,fullstack,standard,"nextjs error, next.js bug, nextjs debug, turbopack error, turbopackinternalerror, webpack error, build error, build failure, ssr error, hydration mismatch, server component error, client component error, app router error, pages router error, next build error, vercel error, deployment error, next.js crash, nextjs issue, nuxt error, sveltekit error, remix error, fullstack debug",Next.js/Fullstack debugging,Debugging Next.js and fullstack framework errors
72,debugger,debugging|web-frameworks|sequential-thinking,debug,fullstack,full,"complex nextjs error, deep fullstack debug, nextjs architecture issue, ssr debugging, hydration debugging, server client mismatch, complex build error, turbopack investigation, webpack deep debug, nextjs performance issue",Complex fullstack debugging,Deep debugging of Next.js and fullstack framework issues
73,debugger,debugging|backend-development|web-frameworks,debug,fullstack,full,"api route error, nextjs api error, server action error, middleware error, edge function error, serverless error, lambda error, api handler error, route handler error, nextjs backend error",Fullstack API debugging,Debugging API routes and server-side errors in fullstack apps
74,debugger,debugging|frontend-design|web-frameworks,debug,fullstack,full,"component render error, layout error, page error, loading error, error boundary, suspense error, streaming error, rsc error, react server component, client boundary error",Fullstack component debugging,Debugging component and rendering issues in fullstack apps
75,debugger,debugging|databases|backend-development,debug,database,full,"prisma error, drizzle error, orm error, database connection error, query error, migration error, schema error, relation error, foreign key error, constraint error, transaction error, deadlock, n+1 query, slow query debug",Database and ORM debugging,Debugging database queries ORM and data layer issues
76,debugger,debugging|better-auth|backend-development,debug,auth,full,"auth error, authentication error, login error, session error, token error, jwt error, oauth error, callback error, redirect error, unauthorized, forbidden, 401 error, 403 error, auth debugging, login issue, signup error",Authentication debugging,Debugging authentication and authorization issues
77,debugger,debugging|payment-integration,debug,payment,standard,"payment error, stripe error, webhook error, checkout error, subscription error, billing error, payment failed, card declined, payment debugging, stripe webhook, payment integration error",Payment debugging,Debugging payment and billing issues
78,debugger,debugging|mobile-development,debug,mobile,standard,"react native error, flutter error, expo error, mobile crash, app crash, ios error, android error, native error, bridge error, metro error, gradle error, xcode error, mobile debugging",Mobile app debugging,Debugging mobile app and native issues
79,debugger,debugging|ai-multimodal,debug,ai,standard,"llm error, api error, openai error, anthropic error, gemini error, rate limit, token error, context error, embedding error, vector error, ai debugging, model error",AI/LLM debugging,Debugging AI and LLM integration issues
80,debugger,debugging|sequential-thinking|problem-solving,debug,general,full,"complex bug, difficult issue, mysterious error, hard to reproduce, intermittent error, race condition, timing issue, edge case, corner case, complex debugging, deep investigation, root cause analysis",Complex systematic debugging,Debugging difficult issues requiring deep analysis
81,code-executor,payment-integration|backend-development,execute,payment,standard,"stripe subscription, recurring payment, subscription billing, subscription management, saas billing, recurring billing, payment plan, subscription tier, stripe recurring, implement subscription",Subscription payment implementation,Implementing subscription and recurring payment features
82,code-executor,ai-multimodal|backend-development,execute,ai,standard,"llm chat, chatbot feature, ai chat, chat interface, conversational ai, llm feature, gpt chat, claude chat, gemini chat, implement llm, implement chatbot, ai assistant, chat assistant",AI/LLM chat implementation,Implementing AI chatbot and conversational features
83,code-executor,frontend-design|ui-styling,execute,frontend,standard,"form validation, input validation, validate form, form error, validation rules, field validation, real-time validation, form feedback, validation message, implement validation",Form validation implementation,Implementing form validation and input handling
84,code-executor,ai-multimodal|media-processing|backend-development,execute,media,standard,"file upload, upload file, image upload, video upload, file handling, upload handler, multipart upload, file storage, upload progress, implement upload, upload feature",File upload implementation,Implementing file upload and media handling
85,researcher,repomix|research|planning,research,codebase,full,"analyze codebase, large codebase, codebase analysis, create documentation, document codebase, codebase documentation, project documentation, comprehensive analysis, codebase summary, repository analysis",Codebase analysis with documentation,Analyzing large codebases and creating documentation
86,code-executor,ui-ux-pro-max|frontend-design|ui-styling,execute,frontend,full,"beautiful pricing, pricing table, pricing component, pricing section, pricing page, stunning pricing, gorgeous pricing, premium pricing, saas pricing, subscription pricing, pricing cards",Beautiful pricing component implementation,Creating beautiful pricing tables and components
87,code-executor,frontend-design|ui-ux-pro-max,execute,frontend,standard,"beautiful component, stunning component, gorgeous ui, premium component, polished ui, professional component, aesthetic ui, elegant component, modern component",Beautiful UI component implementation,Creating polished and beautiful UI components
88,code-executor,shopify|frontend-design|ui-ux-pro-max,execute,ecommerce,full,"beautiful shopify, shopify product page, stunning product, gorgeous product page, premium product, product showcase, shopify theme, product display, ecommerce design",Beautiful Shopify product page,Creating stunning Shopify product pages
89,researcher,repomix|planning,research,codebase,standard,"analyze code, plan refactoring, refactor plan, codebase refactor, code analysis, refactoring strategy, code improvement, restructure code",Codebase analysis for refactoring,Analyzing codebase and planning refactoring
90,tester,debugging|better-auth,test,auth,standard,"test authentication, test auth, verify auth, auth testing, authentication test, login test, signup test, session test, token test, auth verification",Authentication testing,Testing authentication flows and security
91,code-executor,shopify|payment-integration|backend-development,execute,ecommerce,full,"checkout flow, product checkout, cart checkout, ecommerce checkout, shopping cart, checkout page, checkout implementation, implement checkout, cart flow, purchase flow, buy flow, complete checkout, checkout process",Checkout flow implementation,Implementing product checkout and cart flows
92,debugger,debugging|shopify|backend-development,debug,ecommerce,standard,"shopify webhook, shopify debug, webhook error, shopify error, shopify issue, ecommerce debug, shopify callback, webhook failure, shopify api error, liquid error",Shopify webhook debugging,Debugging Shopify webhooks and e-commerce issues
93,code-executor,frontend-design|ui-styling|ui-ux-pro-max,execute,frontend,full,"multi-step form, wizard form, step form, stepper form, complex form, form wizard, multi page form, form steps, form stepper, progressive form, step by step form, form flow, form sequence",Multi-step form implementation,Creating complex multi-step forms and wizards
94,code-executor,frontend-design|ui-ux-pro-max|ui-styling,execute,frontend,standard,"modal component, popup, dialog, overlay, modal dialog, beautiful modal, stunning modal, gorgeous popup, modal window, alert dialog, confirm dialog, drawer, side panel",Modal and dialog component implementation,Creating beautiful modals and dialog components
95,code-executor,shopify|backend-development|databases,execute,ecommerce,full,"order tracking, track order, order status, shipping status, delivery tracking, order management, fulfillment tracking, order history, order updates, tracking system, shipment tracking",Order tracking system implementation,Implementing order tracking and fulfillment systems
96,debugger,debugging|ai-multimodal|backend-development,debug,ai,full,"rate limit, rate limiting, api rate limit, llm rate limit, throttle, api throttling, 429 error, too many requests, quota exceeded, rate limit debug, api limit",AI/LLM rate limiting debugging,Debugging rate limiting and API quota issues
97,researcher,repomix|research|sequential-thinking,research,codebase,full,"codebase architecture, architecture analysis, system architecture, code structure, project architecture, architectural patterns, architecture review, architecture understanding, repository architecture",Codebase architecture research,Researching and understanding codebase architecture
98,code-executor,backend-development|better-auth|ui-ux-pro-max|frontend-design,execute,auth,full,"oauth dashboard, authentication dashboard, auth admin, user management dashboard, oauth admin, auth panel, identity dashboard, sso dashboard, auth management, beautiful auth dashboard",OAuth/Auth dashboard implementation,Building beautiful authentication and OAuth dashboards
99,tester,debugging|code-review|better-auth,test,auth,full,"test and review auth, test review authentication, auth flow testing, authentication review, review auth, test auth flow, verify authentication, qa authentication, review and test auth",Authentication testing and review,Testing and reviewing authentication flows
100,code-executor,backend-development|planning,execute,backend,standard,"document and implement api, api with docs, implement api endpoints, create documented api, api documentation implementation, documented endpoints, api with documentation",Documented API implementation,Implementing API endpoints with documentation
101,code-reviewer,code-review|mobile-development,review,mobile,standard,"review mobile app, mobile code review, app review, mobile qa, mobile testing, review app, test mobile, mobile review",Mobile app review and testing,Reviewing and testing mobile applications
102,ui-ux-designer,ui-ux-pro-max|frontend-design|shopify,design,ecommerce,full,"shopify product page design, beautiful product, product page design, ecommerce product design, product showcase design, stunning product page, gorgeous product, product display design",Shopify product page design,Designing beautiful Shopify product pages
103,ui-ux-designer,ui-ux-pro-max|frontend-design|ui-styling,design,frontend,full,"build and design dashboard, dashboard component design, design dashboard, create dashboard, dashboard ui design, beautiful dashboard design, dashboard interface",Dashboard design and implementation,Designing and building dashboard components
104,ui-ux-designer,ui-ux-pro-max|mobile-development|frontend-design,design,mobile,full,"design and test mobile, mobile interface design, test mobile design, mobile ui design test, mobile design testing, mobile design qa",Mobile design and testing,Designing and testing mobile interfaces
105,code-executor,frontend-design|ui-ux-pro-max|backend-development,execute,fullstack,full,"implement and review checkout, checkout flow implementation, checkout with review, checkout flow review, implement checkout",Checkout implementation with review,Implementing and reviewing checkout flows
106,docs-manager,planning|frontend-design,docs,frontend,standard,"component library docs, document components, create component docs, component documentation, document ui library, ui documentation, component library documentation",Component library documentation,Creating and documenting component libraries
107,code-executor,ai-multimodal|media-processing|debugging,execute,media,full,"media pipeline, audio video pipeline, media processing, implement media, debug media, media flow, streaming pipeline, media implementation, media debug",Media pipeline implementation and debugging,Implementing and debugging media processing pipelines
108,code-reviewer,code-review|debugging|backend-development,review,security,full,"review and fix security, security fix, fix security issues, security review fix, patch security, security remediation, security issue fix, vulnerability fix",Security review and remediation,Reviewing and fixing security issues
109,code-executor,frontend-design|ui-ux-pro-max,execute,frontend,full,"settings page, settings tabs, settings ui, tabbed settings, preferences page, settings panel, tab navigation, tabbed interface, settings interface, preferences ui",Settings page with tabs implementation,Implementing settings pages with tab navigation
110,planner,planning|research|ai-multimodal,plan,ai,full,"ab testing framework, experiment framework, feature flag, experiment design, split testing, testing framework design, ab test implementation plan",A/B testing framework planning,Planning A/B testing and experimentation frameworks
111,code-executor,backend-development|databases|planning,execute,architecture,full,"multi-tenant, saas architecture, tenant isolation, multi-tenant saas, tenant management, multi-tenancy, tenant database, saas multi-tenant",Multi-tenant SaaS implementation,Implementing multi-tenant SaaS architectures
112,code-executor,mobile-development|ui-ux-pro-max|frontend-design,execute,mobile,full,"gesture navigation, swipe navigation, mobile gestures, touch gestures, gesture handler, swipe gesture, mobile gesture, gesture ui, touch navigation",Mobile gesture navigation implementation,Implementing gesture-based navigation for mobile apps
113,ui-ux-designer,ui-ux-pro-max|frontend-design,design,frontend,standard,"user profile page, profile design, user profile ui, profile page design, account page, user page, profile interface",User profile page design,Designing user profile pages
114,code-executor,backend-development|databases|sequential-thinking,execute,backend,full,"audit logging, audit log, activity log, audit trail, logging system, audit system, event logging, activity tracking, audit implementation",Audit logging system implementation,Implementing audit logging and activity tracking
115,code-executor,payment-integration|shopify|frontend-design,execute,ecommerce,full,"subscription checkout, subscription flow, checkout for subscriptions, subscription purchase, subscription payment flow, recurring checkout",Subscription checkout flow implementation,Implementing subscription and recurring payment checkout flows
116,researcher,research|sequential-thinking|planning,research,general,full,"deep research analysis, comprehensive research, thorough research, in-depth research, exhaustive research, deep dive research, research deep, deep analysis, implement deep research",Deep research analysis,Comprehensive deep research and analysis tasks
117,debugger,debugging|better-auth|sequential-thinking,debug,auth,full,"authentication callback, auth callback, callback error, oauth callback, sso callback, callback debug, callback issue, auth callback error, callback failure",Authentication callback debugging,Debugging authentication callback and OAuth flow issues
118,debugger,debugging|databases|sequential-thinking,debug,database,full,"slow postgresql, postgresql query, postgres performance, slow postgres, postgresql debug, postgres slow, postgresql optimization, pg slow query, postgresql performance",PostgreSQL performance debugging,Debugging slow PostgreSQL queries and performance
119,researcher,repomix|research|planning,research,codebase,full,"research codebase, codebase research, repository research, code research, analyze repository, research code structure, codebase analysis research",Codebase research,Researching and analyzing codebase architecture
120,ui-ux-designer,mobile-development|ui-ux-pro-max|frontend-design,design,mobile,full,"mobile app design gesture, gesture navigation design, swipe design, touch design, gesture ui design, mobile gesture design, app with gesture",Mobile app with gesture design,Designing mobile apps with gesture navigation
121,code-executor,ui-ux-pro-max|frontend-design|ui-styling,execute,frontend,full,"create beautiful pricing, pricing table, pricing component, beautiful pricing table, stunning pricing, gorgeous pricing table, premium pricing table",Beautiful pricing table creation,Creating beautiful pricing table components
122,ui-ux-designer,ui-ux-pro-max|frontend-design,design,frontend,standard,"design settings page, settings page design, settings with tabs, tabbed settings design, preferences page design, settings interface design",Settings page design,Designing settings pages with tabs
123,code-executor,backend-development|planning|sequential-thinking,execute,architecture,full,"implement ab testing, ab test framework, a/b testing, split test, experiment framework, feature flags, ab testing implementation",A/B testing framework implementation,Implementing A/B testing and experimentation frameworks
